"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","SEXO","EDAD","NRO_TOTAL_ATENCIONES","NRO_TOTAL_ATENDIDOS"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","9","57","57"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","8","94","94"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","7","60","60"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","6","28","28"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","4","23","23"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","3","52","52"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","2","112","112"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","12","23","23"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","11","24","24"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","2","10","50","50"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","9","52","52"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","5","36","36"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","4","41","41"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","3","65","65"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","2","147","147"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","15","16","16"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","12","32","32"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","11","26","26"
"2015","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","1","10","44","44"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","2","15","223","197"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","2","14","82","77"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","2","13","92","84"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","2","12","93","84"
